crop,mandi,min_price,max_price,modal_price,date
Tomato,Coimbatore,13,22,17,2026-03-17
Tomato,Salem,12,20,16,2026-03-17
Onion,Coimbatore,11,19,15,2026-03-17
Rice,Coimbatore,27,35,31,2026-03-17
Wheat,Coimbatore,23,31,27,2026-03-17
Sugarcane,Coimbatore,28,38,33,2026-03-17
Cotton,Erode,56,72,63,2026-03-17
Banana,Madurai,19,29,23,2026-03-17
Mango,Coimbatore,43,62,52,2026-03-17
Potato,Salem,16,23,19,2026-03-17
Chilli,Coimbatore,38,55,45,2026-03-17
Groundnut,Coimbatore,48,65,55,2026-03-17
Coconut,Coimbatore,13,21,17,2026-03-17
Turmeric,Erode,82,108,92,2026-03-17
Maize,Coimbatore,19,27,23,2026-03-17
