crop,mandi,min_price,max_price,modal_price,date
Tomato,Coimbatore,12,23,16,2026-03-20
Tomato,Salem,11,22,16,2026-03-20
Tomato,Madurai,15,23,18,2026-03-20
Tomato,Chennai,12,21,17,2026-03-20
Tomato,Trichy,16,25,19,2026-03-20
Tomato,Dindigul,13,25,17,2026-03-20
Tomato,Erode,15,23,19,2026-03-20
Onion,Coimbatore,9,19,14,2026-03-20
Onion,Salem,8,21,14,2026-03-20
Onion,Madurai,10,19,15,2026-03-20
Onion,Chennai,7,18,13,2026-03-20
Onion,Trichy,9,18,13,2026-03-20
Onion,Dindigul,8,19,14,2026-03-20
Onion,Erode,7,18,13,2026-03-20
Rice,Coimbatore,27,36,30,2026-03-20
Rice,Salem,28,35,31,2026-03-20
Rice,Madurai,27,37,30,2026-03-20
Rice,Chennai,26,37,32,2026-03-20
Rice,Trichy,28,39,34,2026-03-20
Rice,Dindigul,26,38,30,2026-03-20
Rice,Erode,23,35,29,2026-03-20
Wheat,Coimbatore,17,30,23,2026-03-20
Wheat,Salem,24,33,28,2026-03-20
Wheat,Madurai,21,32,27,2026-03-20
Wheat,Chennai,19,33,25,2026-03-20
Wheat,Trichy,21,31,24,2026-03-20
Wheat,Dindigul,19,31,24,2026-03-20
Wheat,Erode,17,30,23,2026-03-20
Sugarcane,Coimbatore,30,38,34,2026-03-20
Sugarcane,Salem,30,40,34,2026-03-20
Sugarcane,Madurai,34,41,37,2026-03-20
Sugarcane,Chennai,32,42,35,2026-03-20
Sugarcane,Trichy,29,38,32,2026-03-20
Sugarcane,Dindigul,28,37,31,2026-03-20
Sugarcane,Erode,31,43,37,2026-03-20
Cotton,Coimbatore,55,65,61,2026-03-20
Cotton,Salem,50,60,55,2026-03-20
Cotton,Madurai,55,66,59,2026-03-20
Cotton,Chennai,59,70,63,2026-03-20
Cotton,Trichy,52,60,55,2026-03-20
Cotton,Dindigul,55,66,59,2026-03-20
Cotton,Erode,59,71,65,2026-03-20
Banana,Coimbatore,16,24,19,2026-03-20
Banana,Salem,15,24,18,2026-03-20
Banana,Madurai,15,26,20,2026-03-20
Banana,Chennai,15,25,20,2026-03-20
Banana,Trichy,12,23,18,2026-03-20
Banana,Dindigul,14,24,18,2026-03-20
Banana,Erode,14,24,18,2026-03-20
Mango,Coimbatore,45,57,50,2026-03-20
Mango,Salem,48,60,54,2026-03-20
Mango,Madurai,44,56,48,2026-03-20
Mango,Chennai,48,59,53,2026-03-20
Mango,Trichy,44,53,48,2026-03-20
Mango,Dindigul,50,58,54,2026-03-20
Mango,Erode,49,59,53,2026-03-20
Potato,Coimbatore,13,24,19,2026-03-20
Potato,Salem,15,22,18,2026-03-20
Potato,Madurai,16,25,19,2026-03-20
Potato,Chennai,14,23,18,2026-03-20
Potato,Trichy,14,24,18,2026-03-20
Potato,Dindigul,11,23,16,2026-03-20
Potato,Erode,13,24,16,2026-03-20
Chilli,Coimbatore,40,49,43,2026-03-20
Chilli,Salem,37,50,43,2026-03-20
Chilli,Madurai,41,52,47,2026-03-20
Chilli,Chennai,40,53,45,2026-03-20
Chilli,Trichy,37,47,40,2026-03-20
Chilli,Dindigul,38,47,43,2026-03-20
Chilli,Erode,41,48,44,2026-03-20
Groundnut,Coimbatore,45,55,50,2026-03-20
Groundnut,Salem,46,56,51,2026-03-20
Groundnut,Madurai,52,64,57,2026-03-20
Groundnut,Chennai,53,66,59,2026-03-20
Groundnut,Trichy,51,59,55,2026-03-20
Groundnut,Dindigul,44,56,49,2026-03-20
Groundnut,Erode,54,62,58,2026-03-20
Coconut,Coimbatore,9,21,15,2026-03-20
Coconut,Salem,11,20,14,2026-03-20
Coconut,Madurai,10,22,15,2026-03-20
Coconut,Chennai,9,21,13,2026-03-20
Coconut,Trichy,10,21,14,2026-03-20
Coconut,Dindigul,8,18,14,2026-03-20
Coconut,Erode,10,19,13,2026-03-20
Turmeric,Coimbatore,93,101,97,2026-03-20
Turmeric,Salem,88,99,94,2026-03-20
Turmeric,Madurai,79,87,82,2026-03-20
Turmeric,Chennai,82,95,87,2026-03-20
Turmeric,Trichy,82,90,85,2026-03-20
Turmeric,Dindigul,83,94,88,2026-03-20
Turmeric,Erode,90,98,93,2026-03-20
Maize,Coimbatore,19,32,24,2026-03-20
Maize,Salem,16,29,21,2026-03-20
Maize,Madurai,18,28,22,2026-03-20
Maize,Chennai,16,26,22,2026-03-20
Maize,Trichy,19,31,23,2026-03-20
Maize,Dindigul,18,28,22,2026-03-20
Maize,Erode,16,30,22,2026-03-20
Carrot,Coimbatore,22,30,26,2026-03-20
Carrot,Salem,17,30,23,2026-03-20
Carrot,Madurai,18,28,24,2026-03-20
